"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"HS","2020","202001","January 2020","0","0","2","Exports","702","Singapore",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"32939534225",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","703","Slovakia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"7389474514",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","705","Slovenia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"3307962057",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","710","South Africa",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"6973262173",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","716","Zimbabwe",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"397725350",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","724","Spain",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"27053652239",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","752","Sweden",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"13807145539",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","757","Switzerland",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"27000294127",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","768","Togo",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"96307651",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","792","Turkey",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"14701517102",NA,NA,"0"
